Patient,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-3M-AB46-01A,FALSE,NR,0.83,-0.07,0.34,-0.22,0,-0.46,FALSE,-1.55,0.83,0.1,0,0.04
TCGA-B7-5818-01A,FALSE,NR,0.12,0.25,0.47,0.19,0,0.2,TRUE,0.12,-0.89,-0.04,-0.05,-0.04
TCGA-B7-A5TI-01A,FALSE,NR,1.1,0,0.5,-0.05,0,-0.08,FALSE,-0.55,1.1,0.04,0.09,0.04
TCGA-B7-A5TJ-01A,FALSE,NR,0.67,-0.19,0.47,-0.23,0,-0.46,FALSE,-0.74,0.67,0.06,-0.04,0.08
TCGA-B7-A5TK-01A,FALSE,NR,0.58,0.53,0.5,0.35,0,0.55,TRUE,0.58,-0.57,-0.04,0.08,-0.13
TCGA-B7-A5TN-01A,FALSE,NR,1.56,-0.09,0.41,-0.04,0,-0.21,FALSE,-0.22,1.56,0.04,0.23,-0.02
TCGA-BR-4187-01A,FALSE,NR,0.37,-0.12,0.52,0,0,0.12,TRUE,0.37,0.5,-0.13,0.24,-0.02
TCGA-BR-4191-01A,FALSE,NR,0.22,0.14,0.44,0.14,0,0.19,TRUE,0.22,-1.61,-0.19,-0.02,-0.03
TCGA-BR-4201-01A,FALSE,NR,1.13,0.15,0.64,0,0,-0.11,FALSE,-0.79,1.13,0.03,0.18,-0.04
TCGA-BR-4253-01A,FALSE,R,-0.19,0.58,0.58,0.34,0,0.5,TRUE,-0.19,-2.54,-0.11,-0.17,-0.11
TCGA-BR-4256-01A,FALSE,NR,0.25,0.26,0.66,0.22,0,0.25,TRUE,0.25,-0.26,-0.08,0.16,-0.12
TCGA-BR-4257-01A,FALSE,R,-0.94,0.18,0.65,0.1,0,0.12,TRUE,-0.94,0.33,0.01,0.09,-0.04
TCGA-BR-4267-01A,FALSE,R,-0.22,-0.06,0.49,-0.12,0,-0.19,FALSE,-0.98,-0.22,0,-0.02,-0.01
TCGA-BR-4279-01A,FALSE,R,-0.32,0.01,0.56,0.03,0,0.16,TRUE,-0.32,0.59,-0.08,0.2,-0.03
TCGA-BR-4280-01A,FALSE,R,-0.87,0.21,0.7,0.12,0,0.09,TRUE,-0.87,-1.36,0,-0.2,-0.01
TCGA-BR-6452-01A,FALSE,R,-0.35,0.25,0.72,0.16,0,0.14,TRUE,-0.35,0.09,0.01,0.03,-0.02
TCGA-BR-6453-01A,FALSE,NR,1.92,-0.09,0.53,0.09,0,0.23,TRUE,1.92,-1.02,-0.16,-0.02,0.03
TCGA-BR-6455-01A,FALSE,R,-0.27,0.2,0.5,0.18,0,0.37,TRUE,-0.27,-0.07,0,-0.04,0.03
TCGA-BR-6456-01A,FALSE,NR,0.74,-0.01,0.44,0.04,0,0.1,TRUE,0.74,1.42,0.06,0.18,-0.03
TCGA-BR-6457-01A,FALSE,NR,1.62,-0.06,0.43,0.06,0,0.14,TRUE,1.62,1.42,-0.06,0.27,0.01
TCGA-BR-6458-01A,FALSE,NR,0.6,0.13,0.41,0.17,0,0.27,TRUE,0.6,0.55,0.01,0.11,-0.03
