id	total	total_perMB	total_perMB_log
TCGA.D7.5577.01A	114	2.28	0.357934847
TCGA.D7.6818.01A	146	2.92	0.465382851
TCGA.BR.4280.01A	695	13.9	1.1430148
TCGA.D7.8572.01A	155	3.1	0.491361694
TCGA.VQ.A91Z.01A	122	2.44	0.387389826
TCGA.HU.A4HD.01A	157	3.14	0.496929648
TCGA.D7.8573.01A	72	1.44	0.158362492
TCGA.BR.7959.01A	90	1.8	0.255272505
TCGA.CG.5726.01A	1188	23.76	1.375846436
TCGA.BR.6453.01A	158	3.16	0.499687083
TCGA.BR.A4QL.01A	1698	33.96	1.530967682
TCGA.VQ.AA6A.01A	85	1.7	0.230448921
TCGA.HF.7132.01A	1134	22.68	1.35564305
TCGA.BR.A4IV.01A	27	0.54	.0.26760624
TCGA.CG.5718.01A	77	1.54	0.187520721
TCGA.BR.8296.01A	63	1.26	0.100370545
TCGA.BR.8680.01A	5396	107.92	2.033101937
TCGA.VQ.A8P2.01A	6304	126.08	2.1006462
TCGA.CD.8533.01A	100	2	0.301029996
TCGA.RD.A8N2.01A	2	0.04	.1.397940009
TCGA.VQ.A92D.01A	109	2.18	0.338456494
TCGA.HU.A4GT.01A	1252	25.04	1.398634325
TCGA.ZA.A8F6.01A	44	0.88	.0.055517328
TCGA.D7.A74A.01A	125	2.5	0.397940009
TCGA.IN.A7NR.01A	79	1.58	0.198657087
TCGA.HU.A4H2.01A	151	3.02	0.480006943
TCGA.BR.6456.01A	153	3.06	0.485721426
TCGA.CD.8524.01A	141	2.82	0.450249108
TCGA.VQ.A8PO.01A	749	14.98	1.175511813
TCGA.BR.7717.01A	237	4.74	0.675778342
TCGA.CG.4475.01A	48	0.96	.0.017728767
TCGA.HU.A4GP.01A	340	6.8	0.832508913
TCGA.VQ.A94R.01A	257	5.14	0.710963119
TCGA.VQ.A91E.01A	728	14.56	1.163161375
TCGA.HU.A4GD.01A	75	1.5	0.176091259
TCGA.FP.8211.01A	91	1.82	0.260071388
TCGA.D7.A747.01A	97	1.94	0.28780173
TCGA.RD.A8MV.01A	75	1.5	0.176091259
TCGA.BR.4256.01A	946	18.92	1.276921132
TCGA.FP.7735.01A	100	2	0.301029996
TCGA.VQ.A8PK.01A	86	1.72	0.235528447
TCGA.BR.7707.01A	1256	25.12	1.400019635
TCGA.IN.A6RS.01A	84	1.68	0.225309282
TCGA.D7.6519.01A	48	0.96	.0.017728767
TCGA.CG.4440.01A	117	2.34	0.369215857
TCGA.BR.8487.01A	2644	52.88	1.723291446
TCGA.VQ.A94U.01A	134	2.68	0.428134794
TCGA.CG.5717.01A	115	2.3	0.361727836
TCGA.HU.8249.01A	124	2.48	0.394451681
TCGA.BR.8295.01A	41	0.82	.0.086186148
TCGA.BR.7722.01A	40	0.8	.0.096910013
TCGA.HU.A4HB.01A	19	0.38	.0.420216403
TCGA.BR.7958.01A	144	2.88	0.459392488
TCGA.BR.7197.01A	305	6.1	0.785329835
TCGA.VQ.A94P.01A	73	1.46	0.164352856
TCGA.VQ.A8E0.01A	90	1.8	0.255272505
TCGA.VQ.A8PP.01A	1318	26.36	1.420945406
TCGA.BR.8372.01A	1154	23.08	1.363235804
TCGA.VQ.A91Y.01A	38	0.76	.0.119186408
TCGA.IN.A6RL.01A	395	7.9	0.897627091
TCGA.CG.5732.01A	51	1.02	0.008600172
TCGA.RD.A8MW.01A	68	1.36	0.133538908
TCGA.KB.A6F7.01A	93	1.86	0.269512944
TCGA.BR.8382.01A	820	16.4	1.214843848
TCGA.BR.8060.01A	181	3.62	0.558708571
TCGA.HU.A4GF.01A	130	2.6	0.414973348
TCGA.R5.A7ZI.01A	760	15.2	1.181843588
TCGA.BR.8588.01A	101	2.02	0.305351369
TCGA.CD.5801.01A	381	7.62	0.881954971
TCGA.CD.5800.01A	147	2.94	0.46834733
TCGA.VQ.A8PX.01A	543	10.86	1.035829825
TCGA.D7.8578.01A	51	1.02	0.008600172
TCGA.BR.6458.01A	518	10.36	1.015359755
TCGA.VQ.A8PB.01A	732	14.64	1.165541077
TCGA.D7.6822.01A	231	4.62	0.664641976
TCGA.BR.8284.01A	291	5.82	0.764922985
TCGA.BR.8381.01A	100	2	0.301029996
TCGA.BR.4191.01A	193	3.86	0.586587305
