"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"High.risk.36","False","False","2.77","-0.04","0.53","-0.11","0.00","-0.30","False","-0.58","2.77","0.13","0.29","0.02"
"High.risk.109","False","False","2.54","0.07","0.51","0.22","0.00","0.36","True","2.54","-0.55","-0.17","0.13","-0.03"
"High.risk.79","False","False","2.47","-0.22","0.47","-0.15","0.00","-0.22","False","-1.15","2.47","0.19","0.15","0.01"
"High.risk.26","False","False","2.23","-0.15","0.36","-0.15","0.00","-0.23","False","-0.58","2.23","0.14","0.13","0.07"
"Low.risk.59","False","False","2.08","0.09","0.59","0.19","0.00","0.32","True","2.08","-2.03","-0.18","-0.13","0.00"
"Low.risk.173","False","False","2.07","-0.08","0.37","-0.12","0.00","-0.18","False","-0.77","2.07","0.12","0.18","0.02"
"High.risk.33","False","False","2.03","-0.16","0.48","-0.08","0.00","0.03","False","0.09","2.03","0.01","0.29","0.02"
"High.risk.16","False","False","1.98","-0.13","0.41","-0.02","0.00","0.01","False","1.25","1.98","0.01","0.27","0.03"
"High.risk.7","False","False","1.92","-0.09","0.53","0.09","0.00","0.23","True","1.92","-1.02","-0.16","-0.02","0.03"
"High.risk.125","False","False","1.91","-0.25","0.35","-0.23","0.00","-0.41","False","-0.67","1.91","0.15","0.12","0.01"
"High.risk.150","False","False","1.86","-0.10","0.41","-0.06","0.00","-0.11","False","0.43","1.86","0.05","0.18","0.05"
"High.risk.74","False","False","1.85","0.23","0.47","0.27","0.00","0.47","True","1.85","0.16","-0.08","0.15","-0.05"
"Low.risk.147","False","False","1.84","0.08","0.36","0.05","0.00","0.04","False","0.33","1.84","0.15","0.08","0.06"
"High.risk.66","False","False","1.76","-0.24","0.47","-0.18","0.00","-0.21","False","-0.03","1.76","-0.05","0.31","0.01"
"High.risk.130","False","False","1.75","0.04","0.49","0.12","0.00","0.38","True","1.75","-0.16","-0.16","0.15","-0.00"
"Low.risk.58","False","False","1.74","-0.12","0.38","-0.10","0.00","0.02","False","-0.71","1.74","0.17","0.01","0.09"
"Low.risk.15","False","False","1.72","-0.26","0.41","-0.21","0.00","-0.28","False","-0.19","1.72","0.11","0.11","0.04"
"Low.risk.61","False","False","1.72","0.12","0.53","0.15","0.00","0.12","True","1.72","-1.99","-0.14","-0.10","-0.06"
"High.risk.75","False","False","1.72","0.00","0.36","0.15","0.00","0.31","True","1.72","0.68","-0.07","0.18","-0.00"
"High.risk.13","False","False","1.72","0.02","0.47","0.16","0.00","0.38","True","1.72","-0.08","-0.17","0.17","0.00"
"High.risk.68","False","False","1.69","-0.15","0.47","-0.07","0.00","-0.04","False","0.34","1.69","-0.03","0.29","0.01"
"High.risk.164","False","False","1.68","0.09","0.46","0.14","0.00","0.36","True","1.68","-1.73","-0.20","-0.05","-0.01"
