"","Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"1","TCGA-FP-8209-01A-11D-2340-08",0,0,-Inf
"2","TCGA-RD-A8N0-01A-12D-A364-08",2,0.04,-1.39794000867204
"3","TCGA-RD-A8N2-01A-12D-A364-08",2,0.04,-1.39794000867204
"4","TCGA-HU-A4GJ-01A-11D-A25D-08",3,0.06,-1.22184874961636
"5","TCGA-RD-A8N4-01A-21D-A364-08",4,0.08,-1.09691001300806
"6","TCGA-FP-8210-01A-11D-2340-08",5,0.1,-1
"7","TCGA-VQ-A8PQ-01A-11D-A410-08",11,0.22,-0.657577319177794
"8","TCGA-BR-A44T-01A-32D-A24D-08",14,0.28,-0.552841968657781
"9","TCGA-BR-8364-01A-11D-2340-08",17,0.34,-0.468521082957745
"10","TCGA-BR-A4IZ-01A-32D-A25D-08",18,0.36,-0.443697499232713
"11","TCGA-BR-8371-01A-11D-2340-08",19,0.38,-0.42021640338319
"12","TCGA-HU-A4HB-01A-12D-A25D-08",19,0.38,-0.42021640338319
"13","TCGA-CG-5716-01A-21D-1800-08",20,0.4,-0.397940008672038
"14","TCGA-BR-8365-01A-21D-2340-08",21,0.42,-0.3767507096021
"15","TCGA-D7-A6ET-01A-32D-A32N-08",21,0.42,-0.3767507096021
"16","TCGA-BR-6803-01A-11D-1882-08",22,0.44,-0.356547323513813
"17","TCGA-BR-A4IU-01A-22D-A25D-08",24,0.48,-0.318758762624413
"18","TCGA-BR-8291-01A-11D-2340-08",26,0.52,-0.283996656365201
"19","TCGA-BR-A4IV-01A-31D-A25D-08",27,0.54,-0.267606240177031
"20","TCGA-BR-4294-01A-01D-1126-08",28,0.56,-0.2518119729938
"21","TCGA-BR-A4J6-01A-11D-A25D-08",28,0.56,-0.2518119729938
"22","TCGA-BR-4187-01A-01D-1126-08",30,0.6,-0.221848749616356
"23","TCGA-BR-8592-01A-11D-2394-08",31,0.62,-0.207608310501746
"24","TCGA-CD-8532-01A-11D-2340-08",32,0.64,-0.193820026016113
"25","TCGA-D7-A74B-01A-12D-A33T-08",32,0.64,-0.193820026016113
"26","TCGA-RD-A8N5-01A-12D-A364-08",32,0.64,-0.193820026016113
"27","TCGA-D7-8574-01A-13D-2340-08",33,0.66,-0.180456064458131
"28","TCGA-CG-4455-01A-01D-1158-08",34,0.68,-0.167491087293764
"29","TCGA-VQ-A8PS-01A-11D-A410-08",34,0.68,-0.167491087293764
"30","TCGA-CD-5799-01A-11D-1600-08",35,0.7,-0.154901959985743
"31","TCGA-CD-5803-01A-11D-1600-08",35,0.7,-0.154901959985743
"32","TCGA-D7-A748-01A-12D-A32N-08",37,0.74,-0.130768280269024
"33","TCGA-BR-4279-01A-01D-1126-08",38,0.76,-0.119186407719209
"34","TCGA-BR-6801-01A-11D-1882-08",38,0.76,-0.119186407719209
"35","TCGA-VQ-A91W-01A-11D-A410-08",38,0.76,-0.119186407719209
"36","TCGA-VQ-A91Y-01A-11D-A410-08",38,0.76,-0.119186407719209
"37","TCGA-BR-A4J9-01A-12D-A25D-08",39,0.78,-0.10790539730952
"38","TCGA-BR-7722-01A-31D-2201-08",40,0.8,-0.0969100130080564
"39","TCGA-MX-A5UG-01A-21D-A31L-08",40,0.8,-0.0969100130080564
"40","TCGA-BR-8295-01A-11D-2340-08",41,0.82,-0.0861861476162833
"41","TCGA-HU-A4G2-01A-11D-A25D-08",41,0.82,-0.0861861476162833
"42","TCGA-RD-A7BS-01A-11D-A32N-08",41,0.82,-0.0861861476162833
"43","TCGA-BR-8384-01A-21D-2394-08",44,0.88,-0.0555173278498314
"44","TCGA-F1-A72C-01A-21D-A33T-08",44,0.88,-0.0555173278498314
"45","TCGA-ZA-A8F6-01A-23D-A364-08",44,0.88,-0.0555173278498314
"46","TCGA-D7-6522-01A-11D-1800-08",45,0.9,-0.0457574905606751
"47","TCGA-D7-8576-01A-11D-2340-08",45,0.9,-0.0457574905606751
"48","TCGA-B7-A5TK-01A-12D-A31L-08",46,0.92,-0.0362121726544447
"49","TCGA-BR-8058-01A-31D-2340-08",46,0.92,-0.0362121726544447
"50","TCGA-BR-A4J2-01A-21D-A25D-08",46,0.92,-0.0362121726544447
"51","TCGA-CD-5802-01A-11D-1600-08",46,0.92,-0.0362121726544447
"52","TCGA-BR-A4J7-01A-31D-A25D-08",48,0.96,-0.0177287669604316
"53","TCGA-CG-4475-01A-01D-1158-08",48,0.96,-0.0177287669604316
"54","TCGA-D7-6519-01A-11D-1800-08",48,0.96,-0.0177287669604316
"55","TCGA-IN-AB1V-01A-21D-A410-08",48,0.96,-0.0177287669604316
"56","TCGA-VQ-A8PM-01A-21D-A410-08",48,0.96,-0.0177287669604316
"57","TCGA-CD-8526-01A-11D-2340-08",49,0.98,-0.00877392430750515
"58","TCGA-CG-4301-01A-01D-1158-08",49,0.98,-0.00877392430750515
"59","TCGA-D7-8575-01A-11D-2340-08",49,0.98,-0.00877392430750515
"60","TCGA-VQ-A927-01A-12D-A410-08",49,0.98,-0.00877392430750515
"61","TCGA-BR-A4CR-01A-11D-A24D-08",50,1,0
"62","TCGA-KB-A6F5-01A-12D-A33T-08",50,1,0
"63","TCGA-VQ-AA6F-01A-31D-A410-08",50,1,0
"64","TCGA-CG-5732-01A-11D-1600-08",51,1.02,0.00860017176191757
"65","TCGA-D7-8578-01A-21D-2340-08",51,1.02,0.00860017176191757
"66","TCGA-VQ-A928-01A-11D-A410-08",51,1.02,0.00860017176191757
"67","TCGA-BR-4255-01A-01D-1126-08",52,1.04,0.0170333392987804
"68","TCGA-BR-8486-01A-31D-2394-08",53,1.06,0.0253058652647703
"69","TCGA-D7-6520-01A-11D-1800-08",53,1.06,0.0253058652647703
"70","TCGA-VQ-A94O-01A-11D-A410-08",53,1.06,0.0253058652647703
"71","TCGA-BR-A4J1-01A-11D-A25D-08",54,1.08,0.0334237554869497
"72","TCGA-BR-4183-01A-02D-1126-08",55,1.1,0.0413926851582251
"73","TCGA-BR-8367-01A-11D-2340-08",55,1.1,0.0413926851582251
"74","TCGA-VQ-AA69-01A-11D-A410-08",56,1.12,0.0492180226701817
"75","TCGA-BR-8484-01A-11D-2394-08",57,1.14,0.0569048513364726
"76","TCGA-BR-8682-01A-11D-2394-08",57,1.14,0.0569048513364726
"77","TCGA-BR-A453-01A-11D-A24D-08",57,1.14,0.0569048513364726
"78","TCGA-CD-8534-01A-11D-2340-08",57,1.14,0.0569048513364726
"79","TCGA-RD-A7BW-01A-11D-A32N-08",57,1.14,0.0569048513364726
"80","TCGA-BR-8677-01A-11D-2394-08",58,1.16,0.0644579892269184
"81","TCGA-CG-4304-01A-01D-1158-08",58,1.16,0.0644579892269184
"82","TCGA-CG-4462-01A-01D-1158-08",58,1.16,0.0644579892269184
"83","TCGA-R5-A7ZF-01A-11D-A34U-08",59,1.18,0.0718820073061254
"84","TCGA-R5-A7ZR-01A-11D-A34U-08",59,1.18,0.0718820073061254
"85","TCGA-BR-6564-01A-12D-1882-08",60,1.2,0.0791812460476248
"86","TCGA-FP-7998-01A-11D-2201-08",60,1.2,0.0791812460476248
"87","TCGA-HU-8245-01A-11D-2340-08",60,1.2,0.0791812460476248
"88","TCGA-VQ-A8DV-01A-12D-A364-08",61,1.22,0.0863598306747482
"89","TCGA-BR-6707-01A-11D-1882-08",62,1.24,0.0934216851622351
"90","TCGA-BR-7196-01A-11D-2053-08",63,1.26,0.100370545117563
"91","TCGA-BR-8296-01A-11D-2340-08",63,1.26,0.100370545117563
"92","TCGA-CG-5719-01A-11D-1600-08",63,1.26,0.100370545117563
"93","TCGA-VQ-A94T-01A-11D-A410-08",63,1.26,0.100370545117563
"94","TCGA-CD-A489-01A-11D-A24D-08",64,1.28,0.107209969647868
"95","TCGA-D7-A6F2-01A-12D-A31L-08",65,1.3,0.113943352306837
"96","TCGA-BR-6563-01A-13D-2053-08",66,1.32,0.12057393120585
"97","TCGA-CD-A4MH-01A-11D-A25D-08",66,1.32,0.12057393120585
"98","TCGA-R5-A804-01A-11D-A364-08",67,1.34,0.127104798364808
"99","TCGA-HF-7133-01A-11D-2053-08",68,1.36,0.133538908370218
"100","TCGA-RD-A8MW-01A-11D-A364-08",68,1.36,0.133538908370218
"101","TCGA-B7-A5TN-01A-21D-A31L-08",69,1.38,0.139879086401236
"102","TCGA-CD-5804-01A-12D-2053-08",69,1.38,0.139879086401236
"103","TCGA-CG-5720-01A-11D-1600-08",69,1.38,0.139879086401236
"104","TCGA-BR-A4J8-01A-11D-A25D-08",71,1.42,0.152288344383056
"105","TCGA-D7-6521-01A-11D-1800-08",71,1.42,0.152288344383056
"106","TCGA-D7-6817-01A-11D-1882-08",71,1.42,0.152288344383056
"107","TCGA-HU-A4G6-01A-11D-A24D-08",71,1.42,0.152288344383056
"108","TCGA-BR-6455-01A-11D-1800-08",72,1.44,0.15836249209525
"109","TCGA-CD-8530-01A-11D-2340-08",72,1.44,0.15836249209525
"110","TCGA-D7-8573-01A-11D-2340-08",72,1.44,0.15836249209525
"111","TCGA-D7-A4YX-01A-11D-A25D-08",72,1.44,0.15836249209525
"112","TCGA-VQ-A8PZ-01A-11D-A410-08",72,1.44,0.15836249209525
"113","TCGA-BR-8373-01A-11D-2340-08",73,1.46,0.164352855784437
"114","TCGA-BR-8380-01A-11D-2340-08",73,1.46,0.164352855784437
"115","TCGA-CD-8525-01A-11D-2340-08",73,1.46,0.164352855784437
"116","TCGA-VQ-A94P-01A-13D-A410-08",73,1.46,0.164352855784437
"117","TCGA-VQ-A8DZ-01A-11D-A364-08",74,1.48,0.170261715394957
"118","TCGA-CG-5722-01A-21D-1600-08",75,1.5,0.176091259055681
"119","TCGA-CG-5734-01A-11D-1600-08",75,1.5,0.176091259055681
"120","TCGA-HU-A4GD-01A-11D-A25D-08",75,1.5,0.176091259055681
"121","TCGA-RD-A8MV-01A-11D-A364-08",75,1.5,0.176091259055681
"122","TCGA-VQ-AA6K-01A-11D-A410-08",75,1.5,0.176091259055681
"123","TCGA-D7-6518-01A-11D-1800-08",76,1.52,0.181843587944773
"124","TCGA-VQ-A8PD-01A-11D-A410-08",76,1.52,0.181843587944773
"125","TCGA-BR-4267-01A-01D-1126-08",77,1.54,0.187520720836463
"126","TCGA-BR-8676-01A-11D-2394-08",77,1.54,0.187520720836463
"127","TCGA-CG-5718-01A-11D-1600-08",77,1.54,0.187520720836463
"128","TCGA-D7-6820-01A-11D-1882-08",77,1.54,0.187520720836463
"129","TCGA-VQ-A8PY-01A-11D-A410-08",77,1.54,0.187520720836463
"130","TCGA-BR-A44U-01A-11D-A24D-08",78,1.56,0.193124598354462
"131","TCGA-BR-A4J4-01A-12D-A25D-08",78,1.56,0.193124598354462
"132","TCGA-BR-A4QM-01A-12D-A25D-08",79,1.58,0.198657086954423
"133","TCGA-HF-7136-01A-11D-2053-08",79,1.58,0.198657086954423
"134","TCGA-IN-A7NR-01A-11D-A34U-08",79,1.58,0.198657086954423
"135","TCGA-HF-7131-01A-11D-2053-08",80,1.6,0.204119982655925
"136","TCGA-VQ-AA6B-01A-11D-A410-08",80,1.6,0.204119982655925
"137","TCGA-CG-4443-01A-01D-1158-08",81,1.62,0.209515014542631
"138","TCGA-CG-4474-01A-02D-1158-08",81,1.62,0.209515014542631
"139","TCGA-BR-6705-01A-12D-1882-08",82,1.64,0.214843848047698
"140","TCGA-BR-A4J5-01A-21D-A25D-08",82,1.64,0.214843848047698
"141","TCGA-CD-5798-01A-11D-1600-08",82,1.64,0.214843848047698
"142","TCGA-FP-8631-01A-11D-2394-08",82,1.64,0.214843848047698
"143","TCGA-IN-A7NU-01A-22D-A34U-08",82,1.64,0.214843848047698
"144","TCGA-BR-6709-01A-11D-1882-08",83,1.66,0.220108088040055
"145","TCGA-MX-A663-01A-11D-A31L-08",83,1.66,0.220108088040055
"146","TCGA-F1-6875-01A-11D-2053-08",84,1.68,0.225309281725863
