"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-D7-5577-01A",0.0470612756722089,0,0.0691758195819815,0.137392819662177,0,0.100422664987694,0.0462465292904318,0.033966970270722,0.0512916300295996,0,0,0.0735248238216674,0,0,0.0971974321553228,0.19353159329099,0.052399345429812,0.0405390927401861,0.0517162976086394,0,0.00091087506090811,0.0046228303976589,0,0.569409451878826,0.83443366807455
"TCGA-D7-6818-01A",0.0118759077441411,0.00295169886818681,0.0960156439573616,0.0292677457141389,0,0.110639606913795,0.0159542303190259,0,0.0602787134401321,0,0,0.00672761319323119,0.0526947937731259,0.132874472226226,0.0356185813195923,0.213153477772055,0.016613223152968,0.0106625998512968,0.0751416582618596,0,0.0675031280933334,0.0620269053995295,0,0.452877364341168,0.892817939577301
"TCGA-BR-4280-01A",0.0517895950743601,0,0.223819597402744,0.0255817757964315,0,0.196601177464689,0.0453400550604185,0.00927369897255462,0.0146013186242759,0,0.018889898993965,0.012519690193674,0.00720606325190711,0.0569791731339008,0.0932268702168379,0.155570318727111,0.0305982769998133,0,0,0.0331267236049632,0.0248757664823538,0,0,0.483031659830908,0.875648618078965
"TCGA-D7-8572-01A",0.0272299084115687,0.0322754665401774,0.0950494030438151,0.114479108742485,0,0.194501786130041,0.00633706741095057,0,0.00257626212231567,0,0,0.0580910141609604,0.0251086314777557,0.115116573623711,0.0424340212996595,0.13309326098897,0.00610397095290905,0.0599554562577199,0,0.0318482929266375,0,0.0557997759103233,0,0.454716029085471,0.890501715776571
"TCGA-VQ-A91Z-01A",0,0.0108146135819449,0.148475854095282,0.0872841880855891,0,0.128592204131582,0,0.0543424871756931,0.0322403077030063,0,0.0598440709860787,0,0.00247329936407028,0.336076246571751,0,0.0135153892129978,0,0.032902380397764,0,0.0860040951211892,0.00743486357305201,0,0,0.175692483290099,1.02839883191232
"TCGA-HU-A4HD-01A",0.0691471210184522,0,0.0787928255987318,0.0806325876309044,0,0.162612491409366,0.0316271528373823,0.00844837770046139,0.0667706013502987,0,0,0.0197176636389412,0.00122840475665903,0.16728513377706,0.0581869267066831,0.149293126012947,0.0288755617868493,0,0.0657070498586205,0,0,0.0116749759166426,0,0.323702515796386,0.948992611709571
"TCGA-D7-8573-01A",0.138365128548646,0,0.0895945857005855,0.0424674766640186,0,0.359539712688892,0.00966545562403708,0.0072212568503355,0.00499662060501469,0,0,0.0258251267803286,0.0181786583612764,0.12506952549969,0.0992232997148576,0,0.0130299058125162,0.0189936272944336,0,0.0453333636500309,0,0.00249625620533789,0,0.359199291199527,0.9386974022004
"TCGA-BR-7959-01A",0.0193099571537017,0,0.0659317128242361,0.0565345186046473,0,0.26938360542634,0.0270076723099046,0.00926989591128482,0.00625611249343395,0,0.00444594608433246,0,0.0632432300798798,0.11613313595931,0.0743188018413996,0.125271175451971,0.00900921024768588,0.0356765666165158,0.100597125623813,0,0.00225530441450808,0.0153560289570365,0,0.335062310002731,0.943311908887973
"TCGA-CG-5726-01A",0,0.00308492485388531,0.0588257599604141,0.0956055836752035,0,0.254914019597947,0.0995467592229135,0.00207709944174411,0.0102200963748693,0,0.00023932241298546,0.0178390469511583,0.0118506216045192,0.0883315633570177,0.0693851381186465,0.11733531773658,0.0989185362047712,0,0.019090901166344,0,0.0339554648040381,0.0187798445169618,0,0.204705957416506,0.997620938704752
"TCGA-BR-6453-01A",0.216672980424648,0,0.0446295315452304,0.135868752788915,0,0.0864998456585074,0.0598119723112358,0.0282013851228148,0.0285752581097874,0.009035527659855,0,0.00736962268506337,0.000762257946921089,0.0240259243400316,0.0298323641135166,0.141741407015072,0.0631771723470634,0.038423119330206,0.0800795678752421,0,0.0052933107258902,0,0,0.630348167940951,0.805062597326538
