Gene	Group
INPP5F	has-miR-145
TCAF2	has-miR-145
ACTB	has-miR-145
ADD3	has-miR-145
AP1G1	has-miR-145
JAG1	has-miR-145
AIM1	has-miR-145
ALDH3A1	has-miR-145
ALPPL2	has-miR-145
ANGPT2	has-miR-145
ARF6	has-miR-145
BNIP3	has-miR-145
BRAF	has-miR-145
KLF5	has-miR-145
BTG1	has-miR-145
MYRF	has-miR-145
CBFB	has-miR-145
CCNA2	has-miR-145
CD28	has-miR-145
CD36	has-miR-145
CD44	has-miR-145
CDH2	has-miR-145
CDK4	has-miR-145
CDK6	has-miR-145
CDKN1A	has-miR-145
CFTR	has-miR-145
COL5A1	has-miR-145
CP	has-miR-145
CTGF	has-miR-145
CTNND1	has-miR-145
CYP2C19	has-miR-145
DDC	has-miR-145
DDX6	has-miR-145
DFFA	has-miR-145
DNMT3a	has-miR-145
SLC26A2	has-miR-145
HBEGF	has-miR-145
DUSP6	has-miR-145
E2F3	has-miR-145
EGFR	has-miR-145
EIF4E	has-miR-145
ELK1	has-miR-145
EPAS1	has-miR-145
ERBB4	has-miR-145
ERG	has-miR-145
ESR1	has-miR-145
ETS1	has-miR-145
EZH2	has-miR-145
FGF2	has-miR-145
FGF10	has-miR-145
FLI1	has-miR-145
GMFB	has-miR-145
HDAC2	has-miR-145
HOXA9	has-miR-145
IFNB1	has-miR-145
IGF1	has-miR-145
IGF1R	has-miR-145
IGFBP5	has-miR-145
ILK	has-miR-145
IRS1	has-miR-145
ITGB8	has-miR-145
KRT7	has-miR-145
SMAD3	has-miR-145
SMAD4	has-miR-145
SMAD5	has-miR-145
MDM2	has-miR-145
MAP3K3	has-miR-145
MEST	has-miR-145
MAP3K11	has-miR-145
MMP1	has-miR-145
MMP12	has-miR-145
MMP13	has-miR-145
MMP14	has-miR-145
ABCC1	has-miR-145
NUDT1	has-miR-145
MUC1	has-miR-145
MUC4	has-miR-145
MYC	has-miR-145
MYCN	has-miR-145
MYO5A	has-miR-145
MYO6	has-miR-145
NAIP	has-miR-145
NDUFA4	has-miR-145
NDUFS2	has-miR-145
NEDD9	has-miR-145
NFATC1	has-miR-145
NOTCH1	has-miR-145
NRAS	has-miR-145
ORC4	has-miR-145
P4HA1	has-miR-145
SERPINE1	has-miR-145
PIGF	has-miR-145
PLAGL2	has-miR-145
PODXL	has-miR-145
POU5F1	has-miR-145
PPP3CA	has-miR-145
MAP2K6	has-miR-145
MAP4K2	has-miR-145
RASA1	has-miR-145
REL	has-miR-145
ROBO2	has-miR-145
ROCK1	has-miR-145
RPS6KA3	has-miR-145
RPS6KB1	has-miR-145
RREB1	has-miR-145
RTKN	has-miR-145
SDHC	has-miR-145
MAP2K4	has-miR-145
HLTF	has-miR-145
FSCN1	has-miR-145
SNTB1	has-miR-145
SOX2	has-miR-145
SOX9	has-miR-145
SOX11	has-miR-145
SP1	has-miR-145
SPTBN1	has-miR-145
STAT1	has-miR-145
ADAM17	has-miR-145
TBX15	has-miR-145
TGFBI	has-miR-145
TGFBR2	has-miR-145
TSPAN6	has-miR-145
TNR	has-miR-145
TOP2A	has-miR-145
TPM3	has-miR-145
VEGFA	has-miR-145
WNT2B	has-miR-145
YES1	has-miR-145
ZBTB25	has-miR-145
PRDM2	has-miR-145
DEK	has-miR-145
PTP4A2	has-miR-145
HMGA2	has-miR-145
FZD6	has-miR-145
FZD7	has-miR-145
SPOP	has-miR-145
RECK	has-miR-145
PPM1D	has-miR-145
NIPSNAP1	has-miR-145
AGPS	has-miR-145
IRS2	has-miR-145
TNFSF13	has-miR-145
SLC16A5	has-miR-145
KLF4	has-miR-145
ZFYVE9	has-miR-145
CLINT1	has-miR-145
VGLL4	has-miR-145
AQR	has-miR-145
PHACTR2	has-miR-145
MLEC	has-miR-145
TM9SF4	has-miR-145
NR1D2	has-miR-145
PAK4	has-miR-145
FAM3C	has-miR-145
DDX17	has-miR-145
ARL6IP5	has-miR-145
IVNS1ABP	has-miR-145
C11orf58	has-miR-145
LYPLA2	has-miR-145
SWAP70	has-miR-145
FBXO28	has-miR-145
ANKRD28	has-miR-145
SRGAP2	has-miR-145
ZNF451	has-miR-145
WSB1	has-miR-145
AGO2	has-miR-145
SRPX2	has-miR-145
SNX24	has-miR-145
TMOD3	has-miR-145
SENP1	has-miR-145
PADI1	has-miR-145
PNMA3	has-miR-145
PSAT1	has-miR-145
SOCS7	has-miR-145
F11R	has-miR-145
APH1A	has-miR-145
GOLM1	has-miR-145
PANK1	has-miR-145
DNAJC28	has-miR-145
C1orf27	has-miR-145
UBR7	has-miR-145
CCDC25	has-miR-145
KIF21A	has-miR-145
TMEM9B	has-miR-145
CTNNBIP1	has-miR-145
AKR1B10	has-miR-145
AGTRAP	has-miR-145
DANCR	has-miR-145
NDRG2	has-miR-145
SRGAP1	has-miR-145
NUFIP2	has-miR-145
CRAMP1L	has-miR-145
ABHD17C	has-miR-145
ABRACL	has-miR-145
ZFAND3	has-miR-145
CLSTN2	has-miR-145
RRAGC	has-miR-145
MTMR14	has-miR-145
ACBD3	has-miR-145
USP46	has-miR-145
ZNF426	has-miR-145
PARP8	has-miR-145
ALG9	has-miR-145
HDAC11	has-miR-145
NANOG	has-miR-145
PHF17	has-miR-145
CSRNP3	has-miR-145
PDGFD	has-miR-145
CPEB4	has-miR-145
MAP1LC3B	has-miR-145
SESN2	has-miR-145
MIXL1	has-miR-145
IMMP2L	has-miR-145
KREMEN1	has-miR-145
UTP15	has-miR-145
LMNB2	has-miR-145
CEP19	has-miR-145
HIST1H2AH	has-miR-145
RBM18	has-miR-145
DTD1	has-miR-145
SLC22A9	has-miR-145
TIRAP	has-miR-145
RAB3IP	has-miR-145
SLC16A10	has-miR-145
SP7	has-miR-145
CCDC43	has-miR-145
EID2B	has-miR-145
UNC5D	has-miR-145
SMIM17	has-miR-145
CCDC80	has-miR-145
C11orf65	has-miR-145
ZNF100	has-miR-145
UBXN2A	has-miR-145
AAED1	has-miR-145
THSD7A	has-miR-145
CXorf23	has-miR-145
SERINC5	has-miR-145
MUC19	has-miR-145
ZNF660	has-miR-145
TPRG1	has-miR-145
CCDC85C	has-miR-145
ZNF678	has-miR-145
NUP43	has-miR-145
ZNF445	has-miR-145
SAMD5	has-miR-145
ZNF772	has-miR-145
FAM45A	has-miR-145
NKX2-1-AS1	has-miR-145
SCHLAP1	has-miR-145
DDX3Y	has-miR-221
POMT2	has-miR-221
TCF4	has-miR-221
ERO1A	has-miR-221
PQLC2L	has-miR-221
ACTB	has-miR-221
ACTG1	has-miR-221
ACVR2B	has-miR-221
ADD1	has-miR-221
AP2A1	has-miR-221
ANXA1	has-miR-221
APAF1	has-miR-221
ARF4	has-miR-221
RHOA	has-miR-221
